Ulasan,sentimen,Aspect
Staff ramah,positif,Staf/Layanan
 kamar bersih ,positif,kebersihan
sarung bantal/selimutnya agak kotor,negatif,kebersihan
Jam 11 malam check in dapat kamar yang pas pemandangan depan,netral,Other
"Air panasnya berfungsi baik, ac nya butuh waktu untuk dingin",positif,fasilitas
"Teman saya sempat kehilangan dompet tp akhirnya ditemukan pihak hotel, terima kasih banyak",netral,Other
bagus proses check in cepat saya check in sudah jam 5 sore,positif,Staf/Layanan
"Kamar bersih dan luas, internet lancar, channel tv banyak smp 40an channel, air mandi hangat aman dan lancar, air minum bisa isi ulang di lorong kamar",positif,kebersihan
Lokasi hotel di pusat kota,netral,lokasi
Pegawainya ramah,positif,Staf/Layanan
"Minus: sandal hanya untuk 1 orang, kamar tidak kedap jadi suara luar masuk, lampu kamar kurang 1 yang di atas tv jadi agak gelap",negatif,fasilitas
Tidak ada water hetaer di kamar,negatif,fasilitas
Di dalam kamar tidak disediakan tisu hanya di kamar mandi saja tisu toilet,negatif,fasilitas
"Layanan kamar termasuk buruk, fasilitas dispenser air minum kurang",negatif,fasilitas
kamar mandi kurang bersih,negatif,kebersihan
"Enak tenan, keluarga kami seneng banget",positif,Other
"Pelayanan sangat baik, tempat strategis",positif,Staf/Layanan
Hotel bersih dan nyaman,positif,kebersihan
"Handuk, selimut, dan sprei warnanya sudah menguning dan buluk",negatif,kebersihan
Tidak ada tisu makan di kamar hanya tisu toilet,negatif,fasilitas
Make up room by request jadi jangan berharap kamar bersih dan rapi setelah ditinggal keluar kalau tidak request,negatif,kebersihan
Air di kamar mandi alirannya kurang lancar jadi menggenang,negatif,fasilitas
Plusnya rasa makanan pas sarapan lebih enak dari kali terakhir kami menginap di sini,positif,fasilitas
Udah 2x nginep sini,netral,Other
Oke banget,positif,Other
Tidak ada tissue wajah,negatif,fasilitas
Very bad kalo menurut saya sie,negatif,Other
"Dan ketika di konfirmasi dengan resepsionis, jawabnya memang tidak ada layanan tissue wajah di kamar menyedihkan",negatif,fasilitas
Pagi nya sangat eksotik,positif,Other
Masukan nya untuk makanan atau sampah pengunjung segera dibersihkan karena ada kucing yang suka main-mainin,netral,kebersihan
"Hotel aman, nyaman & strategis",positif,fasilitas
Staff Hotel sangat ramah,positif,Staf/Layanan
